company_name,crawled_date,employment_type,job_duties,job_id,job_requirements,job_title,job_url,location,posted_date,region
"Газпром трансгаз Санкт-Петербург, ООО",2018-12-22 11:50:23.759667,Постоянная работа,"1. Обеспечение эксплуатации систем и сооружений водоснабжения и канализации;
2. Организация эксплуатационного режима энергетических объектов;
3. Обеспечение надёжной и эффективной работы комплекса энергетических систем, в том числе ЗРУ-10 кВ, КЛ 10 и 0,4 кВ, КТП внутреннего и наружного исполнения, АДЭС, системы постоянного тока и гарантированного электроснабжения, системы электроснабжения потребителей, котельных, тепловых сетей, тепловых пунктов, системы электрического и водяного отопления, сети водоотведения, КНС, КОС, ВОС, артскважин;
4. Планирование капитального ремонта, технического обслуживания и ремонта, диагностических обследований энергетических систем;
5. Организация и ведение строительного контроля объектов энергетики системы транспорта газа.",2650,"1. Высшее профессиональное техническое образование по направлению «энергетика»;
2. Опыт работы на руководящих должностях объектов энергетики не менее 5 лет;
3. Знание нормативных государственных и отраслевых документов по профилю деятельности;
4. Уверенный пользователь ПК (Microsoft Office,  AutoCAD, Visio, АСМО ГТС, иные прикладные отраслевые программы);
5. Умение руководить коллективом, мотивировать подчинённых, чётко организовывать трудовую деятельность.",Начальник службы энерговодоснабжения,https://www.gazpromvacancy.ru/job/nachalnik-sluzhby-ehnergovodosnabzhenija/,г. Кингисепп,2018-11-29 00:00:00,Ленинградская область
"Авиапредприятие «Газпром авиа», ООО",2018-12-22 11:50:23.764837,Постоянная работа,"1. Анализ требований пользователей по изменению существующих конфигураций 1С;
2. Постановка задач на обработку конфигураций 1С (в том числе и сторонним организациям), внесение изменений в конфигурации;
3. Сопровождение распределенной информационной базы Бухгалтерия 3.0;
4. Администрирование баз на платформе 1С;
5. Поддержание / настройка обменов данными.",2651,"1. Опыт работы от 3-х лет;
2. Высшее (техническое) образование;
3. Желательно наличие сертификатов 1С;
4. Знание типовых конфигураций: Бухгалтерия, Документооорот 2.1;
5. Опыт работы с распределенными ИБ, написание сложных отчётов на СКД, администрирование баз.",Главный специалист отдела сопровождения и развития локальных систем,https://www.gazpromvacancy.ru/job/glavnyi-specialist-otdela-soprovozhdenija-i-razvitija-lo/,г. Москва,2018-12-04 00:00:00,Москва
"Газпром добыча шельф Южно-Сахалинск, ООО",2018-12-22 11:50:23.776271,Постоянная работа,"1. Организация работы по охране труда в Обществе и филиалах в соответствии с действующим законодательством РФ и локальными нормативными актами Общества и ПАО «Газпром»;
2. Подготовка статистической и другой отчетности по охране труда;
3. Определение потребности в обучении и проверке знаний в области охраны труда;
4. Разработка мероприятий по улучшению условий и охраны труда;
5. Организация и проведение вводного инструктажа по охране труда;
6. Контроль составления заявок, обеспечения, выдачи сертифицированной специальной одежды, специальной обуви и других средств индивидуальной защиты, а также правильности применения средств индивидуальной и коллективной защиты, предохранительных приспособлений;
7. Планирование и организация работы по специальной оценке условий труда в Обществе и филиалах;
8. Организация и участие в проведении расследований несчастных случаев;
9. Идентификация опасностей, определение уровня рисков и разработка дополнительных мер управления;
10. Организация и проведение административно-производственного контроля состояния охраны труда в филиалах;
11. Разработка и внедрение локальных нормативных актов в области охраны труда в соответствии с требованиями действующего законодательства и корпоративных стандартов.",2652,"1. Высшее образование по направлению подготовки ""Техносферная безопасность"" или соответствующим ему направлениям подготовки (специальностям) по обеспечению безопасности производственной деятельности либо высшее образование и дополнительное профессиональное образование (профессиональная переподготовка) в области охраны труда;
2. Практический стаж работы не менее пяти лет в области охраны труда и промышленной безопасности;
3. Опыт работы в компаниях, имеющих развитые системы управления в области охраны труда и промышленной безопасности;
4. Знание трудового законодательства и иных нормативных правовых актов в области охраны труда;
5. Порядок разработки, согласования и утверждения локальных нормативных актов в области охраны труда и промышленной безопасности.",Ведущий инженер по охране труда,https://www.gazpromvacancy.ru/job/vedushchii-inzhener-po-okhrane-truda/,г. Южно-Сахалинск,2018-12-06 00:00:00,Сахалинская область
"Газпром добыча шельф Южно-Сахалинск, ООО",2018-12-22 11:50:23.858274,Постоянная работа,"1. Участие в организации и проведении работ по обеспечению безопасности при эксплуатации опасных производственных объектов и соблюдении требований промышленной безопасности;
2. Участие и организация:
- работы по идентификации опасностей и оценке рисков и разработке мер управления рисками;
- работы по установлению целей в области промышленной безопасности в структурных подразделениях Общества и разработке программ (мероприятий, планов, графиков и др.), направленных на достижение этих целей;
- производственного контроля и внутреннего аудита;
- подготовки годовой отчетности по охране труда и промышленной безопасности в установленные сроки;
- соблюдения требований промышленной безопасности при эксплуатации ОПО;
- подготовки документов для проведения экспертизы промышленной безопасности и разработке декларации по промышленной безопасности;
- плановых, комплексных и целевых проверок за соблюдением требований ПБ в филиале при эксплуатации ОПО;
- ведения учета актов проверок производственного контроля, отчетов по аудиту и осуществление контроля за своевременностью устранения выявленных нарушений (несоответствий);
- ведения учета аварий и инцидентов на ОПО.
3. Участие в анализе содержания разделов проектной документации по направлению деятельности Службы;
4. Участие в подготовке и аттестации работников в области ПБ;
5. Методическое руководство и сопровождение разработки планов мероприятий по локализации и ликвидации последствий аварий (далее - ПЛА);
6. Участие в сборе данных от структурных подразделений и составлении сводных отчетов об аварийности и выполнении требований ПБ;
7. Участие в разработке предложений по координации деятельности структурных подразделений Общества в области решения задач ПБ при обустройстве и эксплуатации морских месторождений;
8. Участие в формировании сведений для заключения договоров страхований гражданской ответственности владельца ОПО за причинение вреда третьим лицам и окружающей природной среде в случае аварии на ОПО и осуществление контроля выполнения договорных обязательств;
9. Разработка и внедрение локальных нормативных актов в области промышленной безопасности в соответствии с требованиями действующего законодательства и корпоративных стандартов;
10. Участие в комиссиях по техническому расследованию причин аварий и инцидентов на ОПО;
11. Взаимодействовать с государственными органами контроля (надзора) в решение вопросов ПБ и контролировать выполнение предписаний этих органов;
12. Контроль:
- соблюдения работниками требований ОТ и ПБ;
- выполнения филиалом плана мероприятий по обеспечению требований ПБ;
- выполнения филиалом предписаний контролирующих и надзорных органов;
- строительства, реконструкции, капитального ремонта, технического перевооружения, консервации и ликвидации ОПО, а также ремонта технических устройств, используемых на ОПО, в части соблюдения требований ПБ;
- выполнения мероприятий, разработанных по результатам расследований причин аварий и инцидентов;
- соответствия требованиям ПБ договоров, заключаемых на выполнение работ на ОПО.",2653,"1. Высшее техническое образование;
2. Практический стаж работы по специальности не менее пяти лет;
3. Опыт работы в компаниях, имеющих развитые системы управления в области охраны труда и промышленной безопасности;
4. Знание законодательства РФ, корпоративных и иных нормативных правовых актов в области промышленной безопасности, а также требований международных стандартов ISO 45001:2018, ISO 9001:2015 (наличие сертификатов);
5. Порядок разработки, согласования и утверждения локальных нормативных актов в области охраны труда и промышленной безопасности.",Ведущий инженер службы промышленной и пожарной безопасности,https://www.gazpromvacancy.ru/job/vedushchii-inzhener-sluzhby-promyshlennoi-i-pozharnoi-bezopa/,г. Южно-Сахалинск,2018-12-06 00:00:00,Сахалинская область
"Газпром ПХГ, ООО",2018-12-22 11:50:23.872303,Постоянная работа,"1. Оказание квалифицированной терапевтической лечебно-диагностической помощи: проведение амбулаторного приема работников Филиала; своевременная консультация у специалистов и госпитализация в профильные отделения стационаров работников Филиала;
2. Оказание экстренной и неотложной врачебной помощи при внезапных заболеваниях, травмах, профессиональных отравлениях на производстве;
3. Организация и качественное проведение периодических, предрейсовых и предсменных медицинских осмотров работников Филиала;
4. Руководство сотрудниками и контроль работы врачебного здравпункта;
5. Ведение необходимой учетно-отчетной медицинской документации и составление отчетов о своей деятельности в установленном порядке.",2654,"1. Высшее медицинское образование по специальности «Лечебное дело», квалификационная категория и стаж работы в должности врача-терапевта не менее 5 лет;
2. Уверенный пользователь ПК, умение работать в MS Office (Excel, Word, Outlook).","Заведующий здравпунктом, врач-терапевт Касимовского уПХГ",https://www.gazpromvacancy.ru/job/zavedujushchii-zdravpunktom-vrach-terapevt-kasimovskogo-u/,"Касимовский район, п/о Крутоярский",2018-12-10 00:00:00,Рязанская область
"Газпром ПХГ, ООО",2018-12-22 11:50:23.877197,Постоянная работа,"1. Экспертиза финансово-экономической части закупочной документации (223-ФЗ);
2. Мониторинг рыночных и договорных цен на закупаемые Обществом работы (услуги);
3. Экспертиза расчетов стоимости работ (услуг) (ресурсный метод, сметы, калькуляции);
4. Анализ экономической эффективности инноваций (патенты, НИОКР, рац. предложения);
5. Участие в формировании программы оптимизации затрат, БДР Общества.",2655,"1. Высшее экономическое образование (не ниже специалитета);
2. Опытный пользователь  MS Excel, Word.",Ведущий экономист,https://www.gazpromvacancy.ru/job/vedushchii-ehkonomist-1/,"г. Москва, с последующей релокацией в г. Санкт-Петербург",2018-12-10 00:00:00,Москва
"ГАЗПРОМ, ПАО",2018-12-22 11:50:23.945727,Постоянная работа,"- Проведение правовой экспертизы и согласование проектов договоров, связанных с финансово-хозяйственной деятельностью;
- Подготовка заключений по вопросам договорного сопровождения финансово-хозяйственной деятельности, в том числе правовая экспертиза документов, связанных с договорным сопровождением финансово-хозяйственной деятельности;
- Участие в переговорах и совещаниях по вопросам, связанным с договорным сопровождением финансово-хозяйственной деятельности.",2656,"- Высшее юридическое образование;
- Опыт работы по юридической специальности не менее 5 лет, в том числе договорного сопровождения финансово-хозяйственной деятельности организации (работа с договорами возмездного оказания услуг, подряда,  аренды, купли-продажи, пожертвования, доверительного управления, страхования, займа, кредита, банковского вклада и счета, поручительства, залога, цессии);
- Знание действующего гражданского законодательства, регламентирующего порядок заключения, изменения, расторжения, исполнения договоров, права на результаты интеллектуальной деятельности;
- Уверенное использование возможностей пакета офисных программ Microsoft Office (не старше 2003 г.), навыки работы в автоматизированных правовых системах;
- Ориентация на результат, умение планировать свою деятельность, навыки презентации.",Главный юрисконсульт (отдел договорного сопровождения),https://www.gazpromvacancy.ru/job/glavnyi-juriskonsult-otdel-dogovornogo-soprovozhdeni/,Санкт-Петербург,2018-12-12 00:00:00,Санкт-Петербург
"ГАЗПРОМ, ПАО",2018-12-22 11:50:23.950482,Постоянная работа,"- Проведение правовой экспертизы и согласование проектов договоров, связанных с основными видами деятельности компаний топливно-энергетического комплекса;
- Подготовка заключений по вопросам договорного сопровождения основных видов деятельности компаний топливно-энергетического комплекса, в том числе правовая экспертиза документов, связанных с договорным сопровождением основных видов деятельности компаний топливно-энергетического комплекса;
- Участие в переговорах и совещаниях по вопросам, связанным с договорным сопровождением основных видов деятельности компаний топливно-энергетического комплекса.",2657,"- Высшее юридическое образование;
- Опыт работы по юридической специальности не менее 3 лет, в том числе работы с договорами подряда, строительного контроля, поставки, хранения, транспортировки, агентских договоров, комиссии, поручения, возмездного оказания услуг, желательно с опытом договорного сопровождения основных видов деятельности компаний топливно-энергетического комплекса.
- Знание действующего гражданского законодательства, регламентирующего порядок заключения, изменения, расторжения, исполнения договоров.
- Уверенное использование возможностей пакета офисных программ Microsoft Office (не старше 2003 г), навыки работы в автоматизированных правовых системах;
- Ориентация на результат, умение планировать свою деятельность, навыки презентации.",Ведущий юрисконсульт (отдел правового обеспечения договорной работы),https://www.gazpromvacancy.ru/job/vedushchii-juriskonsult-otdel-pravovogo-obespechenija-dog/,Санкт-Петербург,2018-12-12 00:00:00,Санкт-Петербург
"ГАЗПРОМ, ПАО",2018-12-22 11:50:23.955837,Постоянная работа,"Правовая экспертиза проектов решений органов управления ПАО ""Газпром"", правовая поддержка работ по подготовке и проведению Общих собраний акционеров ПАО ""Газпром"", заседаний Совета директоров и Правления ПАО ""Газпром"";
Правовая экспертиза проектов решений ПАО ""Газпром"" как единственного акционера (участника), проектов учредительных и внутренних документов дочерних обществ и организаций ПАО ""Газпром"";
Участие  в подготовке и разработке предложений по вопросам, связанным с развитием системы корпоративного управления в ПАО ""Газпром"", в том числе с совершенствованием организационно-правовых отношений Общества и его дочерних обществ и организаций;
Подготовка подлежащих представлению на рассмотрение органов управления ПАО ""Газпром"" документов по вопросам, связанным с реализацией задач, возложенных на Отдел;
Оказание консультационной помощи структурным подразделениям ПАО ""Газпром"" и подготовка заключений и разъяснений по вопросам, связанным с реализацией задач, возложенных на Отдел.",2658,"Высшее профессиональное (юридическое);
Аналогичный опыт работы от 5 лет;
Знание законодательства Российской Федерации, регулирующего корпоративные отношения, в том числе нормативно правовых актов Правительства Российской Федерации, Банка России и Росимущества;
Уверенное использование программ Microsoft Office, правовыми базами Гарант, Консультант+.",Главный юрисконсульт (отдел правового сопровождения деятельности органов управления и взаимодействия с ДО),https://www.gazpromvacancy.ru/job/glavnyi-juriskonsult-otdel-pravovogo-soprovozhdenija-d/,Санкт-Петербург,2018-12-13 00:00:00,Санкт-Петербург
"ГАЗПРОМ, ПАО",2018-12-22 11:50:23.960584,Постоянная работа,"Формирование, уточнение и анализ исполнения планово-экономических показателей дочерних обществ;
Координация деятельности дочерних обществ по планированию финансово-экономических показателей на краткосрочный и среднесрочный периоды;
Финансовый анализ, формирование целевых значений ключевых показателей эффективности, проведение анализа исполнения показателей по итогам года;
Реализация задач, входящих в компетенцию отдела, связанных с автоматизацией его деятельности;
Участие в разработке методических документов по вопросам, входящим в компетенцию отдела.",2659,"Высшее экономическое образование;
Наличие опыта работы в области бюджетирования, бизнес-планирования и финансового анализа не менее 5 лет;
Наличие навыков выполнения следующих видов работ: анализ обоснованности показателей доходов и расходов, инвестиций организаций разных видов деятельности; подготовка операционных планов и финансового плана организации; анализ финансово-хозяйственной деятельности организаций разных видов деятельности на основании данных бухгалтерского учета и отчетности; составление и/или экспертиза бизнес-планов организации/ проекта; распределение прибыли организаций в рамках холдинга; формирование управленческой отчетности на основании регистров бухгалтерского учета; финансовый анализ; разработка целевых значений ключевых показателей эффективности;
Уверенное владение стандартным пакетом приложений Ms Office.",Главный экономист отдела формирования и анализа исполнения консолидированных показателей Группы Газпром,https://www.gazpromvacancy.ru/job/glavnyi-ehkonomist-otdela-formirovanija-i-analiza-ispol/,г. Санкт-Петербург,2018-12-17 00:00:00,Санкт-Петербург
"Газпром добыча Иркутск, ООО",2018-12-22 11:50:23.965221,Постоянная работа,"1. Составление графика инструментального контроля выбросов загрязняющих веществ от стационарных источников в подразделениях Общества, сводного годового отчета по результатам инструментального контроля;
2. Участие в проведении инструментального контроля загрязняющих веществ в промышленных выбросах топливосжигающих установок в атмосферный воздух в соответствии с графиком инструментального контроля выбросов загрязняющих веществ от стационарных источников, контроля соблюдения природоохранных, санитарно-гигиенических, технических нормативов, соблюдение требований к охране атмосферного воздуха, в области обращения с отходами производства и потребления, водных объектов, почв;
3. Оформление отчётов по результатам выполненных работ по производственному экологическому контролю;
4. Участие в проведении аккредитации группы в системе Росаккредитации по инструментальному контролю выбросов загрязняющих веществ в атмосферу от стационарных источников;
5. Обеспечение своевременного заключения и надлежащего исполнения договоров, курируемых группой;
6. Участие в проведении общественных слушаний в рамках оценки негативного воздействия на окружающую среду намечаемой деятельности;
7. Подготовка писем, служебных записок, локальных нормативных документов для выполнения задач и функций, возложенных на группу.",2660,"1. Высшее образование по направлению подготовки «Охрана окружающей среды и рациональное использование природных ресурсов», «Инженерная защита окружающей среды», по направлению подготовки (специальностям) в области гидрометеорологии и смежных с ней областях, либо дополнительное профессиональное образование (профессиональная переподготовка) в области охраны окружающей среды, гидрометеорологии и смежных с ней областях;
2. Стаж работы по специальности не менее 3 лет.",Ведущий инженер по охране окружающей среды,https://www.gazpromvacancy.ru/job/vedushchii-inzhener-po-okhrane-okruzhajushchei-sredy/,г. Иркутск,2018-12-19 00:00:00,Иркутская область
"Газпром трансгаз Югорск, ООО",2018-12-22 11:50:24.122821,Постоянная работа,"1. Оказание специализированной медицинской помощи в амбулаторных и стационарных условиях;
2. Формирование, анализ и представление медицинской учетно-отчетной документации, выдача медицинских заключений и рекомендаций;
3. Консультативный прием и лечение больных с эндокринологическими заболеваниями  и лиц с подозрением на указанные заболевания, комплексная диагностика отоларингологических заболеваний с применением новейших медицинских технологий с привлечением для этих целей специалистов Санатория-профилактория и других медицинских учреждений.",2569,"1. Высшее образование по специальности «Лечебное дело», специальная подготовка по специальности, сертификат по специальности «Эндокринологи»;
2. Стаж работы по профессии не требуется.",Врач - эндокринолог Санатория-профилактория,https://www.gazpromvacancy.ru/job/vrach-ehndokrinolog-sanatorija-profilaktorija/,г. Югорск,2018-10-04 00:00:00,Ханты-Мансийский автономный округ
"ГАЗПРОМ, ПАО",2018-12-22 11:50:24.147567,Временная работа,"1. Первичное рассмотрение документов, поступающих в адрес Филиала;
2. Регистрация входящих, исходящих и распорядительных документов в установленном порядке;
3. Осуществление отправки документов из Филиала посредством Почты России и курьерскими службами, а также электронной почтой и факсимильной связью;
4. Проведение нормоконтроля по исходящим документам (в части их правильного оформления);
5. Регистрация, рассылка приказов и распоряжений Филиала, а также контроль за их исполнением;
6. Разработка номенклатуры дел, контроль за формированием дел в установленном порядке, организация контроля приема документов для архивного хранения;
7. Ведение конфиденциального делопроизводства.",2634,"1. Высшее образование;
2. Опыт работы в документационном обеспечении управления от 3-х лет;
3. Опытный пользователь ПК (пакет офисных программ Windows, MS-Office (Word, Excel), Internet Explorer, справочные правовые системы (Консультант Плюс);
4. Знание основ организации и ведения делопроизводства и архивного дела, а также законодательных актов по данным направлениям.","Делопроизводитель Филиала ПАО ""Газпром""",https://www.gazpromvacancy.ru/job/deloproizvoditel-filiala-pao-gazprom/,г. Санкт-Петербург,2018-11-16 00:00:00,Санкт-Петербург
"Газпром СПГ Санкт-Петербург, ООО",2018-12-22 11:50:24.152221,Постоянная работа,"1. Организация эксплуатации электрооборудования ПС-110/10 кВ, ТП-10/0,4, электродвигателей до и выше 1000 В, ВЛ и КЛ до и выше 1000 В, ЧРП, УПП, систем освещения промышленного объекта;
2. Выполнение обязанностей ответственного за электрохозяйство;
3. Разработка и ведение эксплуатационной документации;
4. Рассмотрение проектной и технической документации.",2603,"1. Высшее техническое образование;
2. Стаж работы по специальности не менее 3 лет;
3. Наличие опыта работы в области эксплуатации и обслуживания электрооборудования ПС-110/10 кВ, электродвигателей до и выше 1000 В, ТП-10/0,4 кВ, ЧРП, УПП, КЛ и ВЛ до и выше 1000 кВ, систем освещения на промышленных объектах;
4. Наличие опыта работы с импортным оборудованием Schneider Electric, Siemens, ABB, Benning, Cummins (желательно).",Ведущий инженер-энергетик,https://www.gazpromvacancy.ru/job/vedushchii-inzhener-ehnergetik/,г. Выборг,2018-10-10 00:00:00,Ленинградская область
"Газпром добыча шельф Южно-Сахалинск, ООО",2018-12-22 11:50:24.156970,Постоянная работа,"1. Общее руководство и планирование деятельности Отдела экономического анализа;
2. Проведение экономической оценки проектов освоения месторождений газа, конденсата и нефти на континентальном шельфе;
3. Участие в разработке и актуализации финансово-экономических моделей освоения месторождений углеводородов на континентальном шельфе Российской Федерации, входящих в зону ответственности Общества;
4. Участие в оценке капитальных и операционных затрат, подготовке предложений по оптимизации затрат;
5. Участие в разработке проектов нормативно-правовых актов, направленных на повышение экономической эффективности проектов освоения месторождений углеводородов на континентальном шельфе Российской Федерации.",2539,"1. Высшее образование по специальности ""Экономика"";
2. Стаж работы по специальности не менее 7 лет;
3. Знание компьютерных программ: Microsoft Project, Word, Excel, Visio, Power Point;
4. Готовность к переезду в г. Южно-Сахалинск (жилье не предоставляется).",Начальник отдела экономического анализа,https://www.gazpromvacancy.ru/job/nachalnik-otdela-ehkonomicheskogo-analiza/,г. Южно-Сахалинск,2018-09-10 00:00:00,Сахалинская область
"Газпром добыча шельф Южно-Сахалинск, ООО",2018-12-22 11:50:24.161322,Постоянная работа,"1. Анализ параметров технологических процессов добычи, сбора, подготовки и транспорта газа, газового конденсата и нефти на морских добычных и береговых технологических комплексах, подготовка предложений для принятия управленческих решений;
2. Решение задач текущего планирования на основании постоянно действующих геолого-технологических моделей с помощью геотехнического мониторинга;
3. Построение технологических моделей подводно-добычного комплекса и берегового технологического комплекса, рассчет режимов работ подземного, подводного и берегового оборудования и трубопроводов, режимов работы скважин.",2540,"1. Высшее образование по специальности ""Разработка и эксплуатация газовых и газоконденсатных месторождений"", ""Моделирование физико-технологических процессов разработки месторождений"";
2. Стаж работы по специальности от 3-х лет;
3. Знание компьютерных программ: Schlumberger - Petrel, Eclipse, OLGA, Pipesim;
4. Готовность к переезду в г. Южно-Сахалинск (жилье не предоставляется).","Специалист 1 категории отдела мониторинга технологических процессов добычи, сбора, подготовки газа и газового конденсата",https://www.gazpromvacancy.ru/job/specialist-1-kategorii-otdela-monitoringa-tekhnologiche/,г. Южно-Сахалинск,2018-09-10 00:00:00,Сахалинская область
"Газпром добыча шельф Южно-Сахалинск, ООО",2018-12-22 11:50:24.165658,Постоянная работа,"1. Планирование и контроль текущей деятельности трудового коллектива Отдела;
2. Организация, обеспечение поддержки и мониторинг эффективности бизнес-процессов Общества, ведение единого каталога бизнес-процессов Общества;
3. Участие в разработке долгосрочных программ развития Общества, обеспечивающих реализацию его стратегии и долгосрочное устойчивое развитие;
4. Организация работ по управлению рисками Общества, а также по разработке и реализации мероприятий по минимизации рисков;
5. Обеспечение подготовки внутренней нормативной документации в сфере управления рисками Общества;
6. Подготовка информации по результатам управления рисками и предложений по повышению эффективности системы управления рисками;
7. Участие в разработке, внедрении, поддержании и совершенствовании системы менеджмента качества Общества;
8. Участие в методическом обеспечении корпоративной системы управления качеством продукции, работ (услуг);
9. Участие во внедрении эффективных систем, технологий и инструментов управления качеством (""бережливое"" производство и т.п.);
10. Организация совещаний по вопросам, относящимся к деятельности Общества.",2541,"1. Высшее образование по специальности ""Управление проектами"";
2. Стаж работы по специальности не менее 7 лет;
3. Знание компьютерных программ: Microsoft Project, Word, Excel, Visio, Power Point;
4. Готовность к переезду в г. Южно-Сахалинск (жилье не предоставляется).","Начальник отдела  процессного проектирования, управления рисками и менеджмента качества",https://www.gazpromvacancy.ru/job/nachalnik-otdela-processnogo-proektirovanija-upravle/,г. Южно-Сахалинск,2018-09-10 00:00:00,Сахалинская область
